AAVE,crypto,Binance,Aave
ADA,crypto,Binance,Cardano
APT,crypto,Binance,Aptos
AR,crypto,Binance,Arweave
ARB,crypto,Binance,Arbitrum
ATOM,crypto,Binance,Cosmos
AVAX,crypto,Binance,Avalanche
BEAMX,crypto,Binance,Beam
BNB,crypto,Binance,BNB
BTC,crypto,Binance,Bitcoin
CRV,crypto,Binance,Curve DAO Token
DOGE,crypto,Binance,Doge
DOT,crypto,Binance,Polkadot
DYDX,crypto,Binance,dYdX
EIGEN,crypto,Binance,EigenLayer
ENA,crypto,Binance,Ethena
ETH,crypto,Binance,Ethereum
FET,crypto,Binance,Fetch.ai
FLOKI,crypto,Binance,FLOKI
GALA,crypto,Binance,Gala
HBAR,crypto,Binance,Hedera
HIFI,crypto,Binance,Hifi Finance
ICP,crypto,Binance,Internet Computer
IMX,crypto,Binance,Immutable X
KNC,crypto,Binance,Kyber Network Crystal
LDO,crypto,Binance,Lido DAO
LINK,crypto,Binance,Chainlink
LTC,crypto,Binance,Litecoin
NEAR,crypto,Binance,NEAR Protocol
OM,crypto,Binance,Mantra
ONDO,crypto,Binance,Ondo
OP,crypto,Binance,Optimism
PAXG,crypto,Binance,PAX Gold
PRCL,crypto,Binance,Parcl
RENDER,crypto,Binance,Render
SEI,crypto,Binance,Sei
SOL,crypto,Binance,Solana
STRK,crypto,Binance,Starknet
SUI,crypto,Binance,Sui
SUPER,crypto,Binance,SuperVerse
TAO,crypto,Binance,Bittensor
VIRTUAL,crypto,Binance,Virtual Protocol
WIF,crypto,Binance,Dogwifhat
WLD,crypto,Binance,Worldcoin
XRP,crypto,Binance,XRP
ZK,crypto,Binance,zkSync
ZRO,crypto,Binance,LayerZero
ADA,crypto,Bybit,Cardano
BTC,crypto,Bybit,Bitcoin
DOGE,crypto,Bybit,Dogecoin
ETH,crypto,Bybit,Ethereum
SOL,crypto,Bybit,Solana
BERA,crypto,Kraken,Berachain
KDA,crypto,KuCoin,Kadena
GUN,crypto,Unclear,Gun (Uncertain)
IP,crypto,Unclear,IP (Uncertain)
MOVE,crypto,Unclear,Move (Uncertain)
S,crypto,Unclear,S (Uncertain)
4DS,stock,ASX,4DS Memory Limited
A2M,stock,ASX,The a2 Milk Company Limited
ACF,stock,ASX,Acrow Limited
AEF,stock,ASX,Australian Ethical Investment Limited
AGL,stock,ASX,AGL Energy Limited
ALFA,stock,ASX,BetaShares Australian Financials Sector ETF
ALL,stock,ASX,Aristocrat Leisure Limited
ANZ,stock,ASX,ANZ Group Holdings Limited
AOV,stock,ASX,Amotiv Limited
APX,stock,ASX,Appen Limited
ARB,stock,ASX,ARB Corporation Limited
ASX,stock,ASX,ASX Limited
AX1,stock,ASX,Accent Group Limited
BBN,stock,ASX,Baby Bunting Group Limited
BHP,stock,ASX,BHP Group Limited
BLX,stock,ASX,Beacon Lighting Group Limited
BRG,stock,ASX,Breville Group Limited
BXB,stock,ASX,Brambles Limited
CAR,stock,ASX,Car Group Limited
CAT,stock,ASX,Catapult Group International Limited
CBA,stock,ASX,Commonwealth Bank of Australia
CCP,stock,ASX,Credit Corp Group Limited
CDA,stock,ASX,Codan Limited
CKF,stock,ASX,Collins Foods Limited
COH,stock,ASX,Cochlear Limited
COL,stock,ASX,Coles Group Limited
CPU,stock,ASX,Computershare Limited
CRYP,stock,ASX,BetaShares Crypto Innovators ETF
CSL,stock,ASX,CSL Limited
CUV,stock,ASX,Clinuvel Pharmaceuticals Limited
DMP,stock,ASX,Domino's Pizza Enterprises Limited
DRO,stock,ASX,DroneShield Limited
DTL,stock,ASX,Data#3 Limited
DUG,stock,ASX,DUG Technology Ltd
ELD,stock,ASX,Elders Limited
ETPMAG,stock,ASX,ETFS Physical Silver
ETPMPD,stock,ASX,ETFS Physical Palladium
ETPMPT,stock,ASX,ETFS Physical Platinum
EVN,stock,ASX,Evolution Mining Limited
FBR,stock,ASX,FBR Limited
FID,stock,ASX,Fiducian Group Limited
FMG,stock,ASX,Fortescue Ltd
GEAR,stock,ASX,BetaShares Geared Australian Equity Fund
GGAB,stock,ASX,BetaShares Global Agriculture Companies ETF
GGOV,stock,ASX,BetaShares Global Government Bond ETF
GGUS,stock,ASX,BetaShares Geared US Equity Fund
GOR,stock,ASX,Gold Road Resources Limited
GRR,stock,ASX,Grange Resources Limited
GSBK51,stock,ASX,State Street SPDR S&P Global Dividend Fund
GSBK54,stock,ASX,State Street SPDR S&P/ASX 200 Fund
GWA,stock,ASX,GWA Group Limited
GYG,stock,ASX,Guzman y Gomez Limited
IAG,stock,ASX,Insurance Australia Group Limited
IEL,stock,ASX,IDP Education Limited
ILU,stock,ASX,Iluka Resources Limited
IOZ,stock,ASX,iShares Core S&P/ASX 200 ETF
IPH,stock,ASX,IPH Limited
JBH,stock,ASX,JB Hi-Fi Limited
JIN,stock,ASX,Jumbo Interactive Limited
JLG,stock,ASX,Johns Lyng Group Limited
LAU,stock,ASX,Lindsay Australia Limited
LDX,stock,ASX,LuminaryLabs Limited
LIF,stock,ASX,Life360 Inc
LOV,stock,ASX,Lovisa Holdings Limited
LYL,stock,ASX,Lycopodium Limited
MAD,stock,ASX,Mader Group Limited
MAH,stock,ASX,Macmahon Holdings Limited
MFG,stock,ASX,Magellan Financial Group Limited
MND,stock,ASX,Monadelphous Group Limited
MNRS,stock,ASX,BetaShares Global Gold Miners ETF
MOAT,stock,ASX,VanEck Vectors Morningstar Wide Moat ETF
MPL,stock,ASX,Medibank Private Limited
MTS,stock,ASX,Metcash Limited
MVF,stock,ASX,Monash IVF Group Limited
NAB,stock,ASX,National Australia Bank Limited
NCK,stock,ASX,Nick Scali Limited
NDQ,stock,ASX,BetaShares NASDAQ 100 ETF
NEC,stock,ASX,Nine Entertainment Co. Holdings Limited
NHF,stock,ASX,NIB Holdings Limited
NWH,stock,ASX,NRW Holdings Limited
NWL,stock,ASX,Netwealth Group Limited
NXL,stock,ASX,Nuix Limited
NXT,stock,ASX,NEXTDC Limited
OCL,stock,ASX,Objective Corporation Limited
ORG,stock,ASX,Origin Energy Limited
PLS,stock,ASX,Pilbara Minerals Limited
PLY,stock,ASX,PlaySide Studios Limited
PME,stock,ASX,Pro Medicus Limited
PMV,stock,ASX,Premier Investments Limited
PNI,stock,ASX,Pinnacle Investment Management Group Limited
PPT,stock,ASX,Perpetual Limited
PTM,stock,ASX,Platinum Asset Management Limited
PWH,stock,ASX,PWR Holdings Limited
PXA,stock,ASX,PEXA Group Limited
QAU,stock,ASX,BetaShares Gold Bullion ETF
REA,stock,ASX,REA Group Limited
REH,stock,ASX,Reece Limited
RFF,stock,ASX,Rural Funds Group
